Question,Answer
When and where are ESE 577 lectures at Stony Brook University held?,"Thursdays 6:30 pm – 9:20 pm, Frey Hall 216."
What is the timing and venue for ESE 577 classes at Stony Brook University this semester?,"Thursdays 6:30 pm – 9:20 pm, Frey Hall 216."
At what time and location do ESE 577 lectures at Stony Brook University take place?,"Thursdays 6:30 pm – 9:20 pm, Frey Hall 216."
When and where are ESE 577 at Stony Brook University office hours held?,"Mondays and Wednesdays, 3:00 pm – 5:00 pm, Light Engineering Building, Room 145."
What are the professor's office hours for ESE 577 at Stony Brook University?,"Mondays and Wednesdays, 3:00 pm – 5:00 pm, Light Engineering Building, Room 145."
Where can students at Stony Brook University meet the professor for ESE 577 office consultations?,"Mondays and Wednesdays, 3:00 pm – 5:00 pm, Light Engineering Building, Room 145."
What is the course plan of ESE 577 at Stony Brook University?,"08/29 – Introduction to machine learning, regression, regularization 09/05 – Gradient descent 09/12 – Logistic regression 09/19 – Features 09/26 – Neural nets: multilayer perceptrons, backpropagation 10/03 – Convolutional neural nets (CNNs) 10/10 – IN-CLASS MIDTERM 10/17 – Modern neural nets: early stopping, dropout, batch normalization, skip connections 10/24 – Transformers 10/31 – Unsupervised learning 11/07 – Markov decision processes (MDPs) 11/14 – Reinforcement learning 11/21 – Deep reinforcement learning 11/28 – No classes (Thanksgiving break) 12/05 – The future of deep learning."
What topics are covered in the ESE 577 course at Stony Brook University schedule?,"08/29 – Introduction to machine learning, regression, regularization 09/05 – Gradient descent 09/12 – Logistic regression 09/19 – Features 09/26 – Neural nets: multilayer perceptrons, backpropagation 10/03 – Convolutional neural nets (CNNs) 10/10 – IN-CLASS MIDTERM 10/17 – Modern neural nets: early stopping, dropout, batch normalization, skip connections 10/24 – Transformers 10/31 – Unsupervised learning 11/07 – Markov decision processes (MDPs) 11/14 – Reinforcement learning 11/21 – Deep reinforcement learning 11/28 – No classes (Thanksgiving break) 12/05 – The future of deep learning."
What is the week-by-week breakdown of ESE 577 at Stony Brook University topics?,"08/29 – Introduction to machine learning, regression, regularization 09/05 – Gradient descent 09/12 – Logistic regression 09/19 – Features 09/26 – Neural nets: multilayer perceptrons, backpropagation 10/03 – Convolutional neural nets (CNNs) 10/10 – IN-CLASS MIDTERM 10/17 – Modern neural nets: early stopping, dropout, batch normalization, skip connections 10/24 – Transformers 10/31 – Unsupervised learning 11/07 – Markov decision processes (MDPs) 11/14 – Reinforcement learning 11/21 – Deep reinforcement learning 11/28 – No classes (Thanksgiving break) 12/05 – The future of deep learning."
What are the reference books for ESE 577 at Stony Brook University?,"Deep learning with Python, (2nd edition) by François Chollet. Deep learning: A visual approach, by Andrew Glassner. Deep learning with Pytorch, by Eli Stevens, Luca Antiga, and Thomas Viehmann. Deep learning, by Ian Goodfellow, Yoshua Bengio, and Aaron Courville."
Can you list the recommended textbooks for ESE 577 at Stony Brook University?,"Deep learning with Python, (2nd edition) by François Chollet. Deep learning: A visual approach, by Andrew Glassner. Deep learning with Pytorch, by Eli Stevens, Luca Antiga, and Thomas Viehmann. Deep learning, by Ian Goodfellow, Yoshua Bengio, and Aaron Courville."
What study materials are suggested for ESE 577 at Stony Brook University?,"Deep learning with Python, (2nd edition) by François Chollet. Deep learning: A visual approach, by Andrew Glassner. Deep learning with Pytorch, by Eli Stevens, Luca Antiga, and Thomas Viehmann. Deep learning, by Ian Goodfellow, Yoshua Bengio, and Aaron Courville."
Which professor is teaching ESE 577 at Stony Brook University?,Prof. Jorge Mendez-Mendez.
Who is the instructor for ESE 577 at Stony Brook University?,Prof. Jorge Mendez-Mendez.
What is the name of the faculty teaching ESE 577 at Stony Brook University this semester?,Prof. Jorge Mendez-Mendez.
What students are taking ESE 577 at Stony Brook University this semester?,"Manasa, Gnanesh, Yuchen."
