Question,Answer
"In gradient descent algorithm for f(θ) = (2θ + 3)², which statements are true: 1) If gradient descent satisfies its termination criterion (other than stopping after a number of iterations) then it will generally be close to a point where the gradient is zero 2) Gradient descent will always find a global optimum of any function 3) Gradient descent with an appropriate step size can get arbitrarily close to a global optimum of any smooth convex function 4) The step size η controls how much along the gradient we descend in each step","Statements 1, 3, and 4 are true. Gradient descent will find the local minimum of a function given an appropriate step size. It is not guaranteed to find a global minimum unless a function is convex. It is also not guaranteed to converge for all step sizes."
"For the function f(θ) = (2θ + 3)², what is the gradient descent update rule in terms of θ and η?","θnew = θ−η·(8·θ+12). Using basic rules of differentiation, we find ∇θ f(θ) = df(θ)/dθ = 2·(2θ+3)·2"
"For the function f(θ) = (2θ + 3)², starting with θ = 1 and η = 0.1, what is the value of f(θ) before running any iterations of gradient descent?",f(1) = (2 · 1 + 3)² = 25
"For the function f(θ) = (2θ + 3)², after a single gradient descent update, starting with θ = 1 and η = 0.1, what is the value of θ?",θ(1) = θ(0) − η(8θ(0) + 12) = 1 − 0.1 · (20) = −1
"For the function f(θ) = (2θ + 3)², after that update, what is the value of the function f(θ)?",f(−1) = (2 · (−1) + 3)² = 1
"In gradient descent with very very small η, what will generally be true about f(θt-1) and f(θt)?","f(θt-1) ≥ f(θt). For a very very small η, the gradient descent will never worsen (increase) the value of the function it is minimizing. Intuitively, there will always be a small enough step size such that a step in the direction of steepest descent decreases (or more precisely, does not increase) the function value."
"In gradient descent with very very big η, what will generally be true about f(θt-1) and f(θt)?","Cannot say. For very very big η, we cannot say anymore whether the value of the function is going to decrease or increase."
"When using an optimal step size η* = arg min f(θt-1 − η∇θ f(θt-1)), what will generally be true about f(θt-1) and f(θt)?","f(θt-1) ≥ f(θt). The value of the function will decrease (or stay the same) with each step. This follows from the fact that before we take the step, we optimize for the best step value that will decrease the value of the function f the most."
"Regarding the approach of selecting optimal step size η*, which statements are true: 1) The approach is guaranteed to converge to a global minimum 2) The approach is 'efficient' in that it will generally converge to a local optimum in fewer gradient descent steps relative to a fixed 3) The approach is 'inefficient' in that it may require a lot of computation to find η* at each gradient descent step","Statements 2 and 3 are true. It would be wonderful if or when we are lucky enough to have a simple computation to solve the optimization problem for η*, as it would enable us to reduce the number of gradient descent steps needed to find a local minimum. Unfortunately, we rarely have a simple or efficient way to find this optimal η*. In practice, constant η or slowly reducing η from one step to the next is typically used instead."
"In linear logistic regression with g = σ(θᵀx + θ0) where θ = [1,0]ᵀ and θ0 = -0.5, what are the values of z = θᵀx + θ0 for inputs: Input1=[1,1]ᵀ, Input2=[0,0]ᵀ, Input3=[1,0]ᵀ, Input4=[0,1]ᵀ?","z(1) = 0.5, z(2) = -0.5, z(3) = 0.5, z(4) = -0.5"
